frame_number,template_name,frame_family,transitivity,object_definiteness,frame_description,hungarian_example,english_translation
1,subj_nom-verb.,INTR,intransitive,,Subject + verb,Egy ember dolgozik.,A person works.
2,subj_nom-noun_dat-verb.,INTR-DAT,intransitive,,Subject + dative + verb,Egy ember egy csoportnak dolgozik.,A person works for a group.
3,subj_nom-noun_loc-verb.,INTR-LOC,intransitive,,Subject + locative + verb,Egy ember egy helyen dolgozik.,A person works at a place.
4,subj_nom-noun_inst-verb.,INTR-INS,intransitive,,Subject + instrumental + verb,Egy ember egy eszközzel dolgozik.,A person works with a tool.
5,subj_nom-noun_inst-noun_loc-verb.,INTR-INS-LOC,intransitive,,Subject + instrumental + locative + verb,Egy ember egy eszközzel egy helyen dolgozik.,A person works with a tool at a place.
6,subj_nom-noun_inst-noun_dat-verb.,INTR-INS-DAT,intransitive,,Subject + instrumental + dative + verb,Egy ember egy eszközzel egy csoportnak dolgozik.,A person works with a tool for a group.
7,subj_nom-noun_loc-noun_dat-verb.,INTR-LOC-DAT,intransitive,,Subject + locative + dative + verb,Egy ember egy helyen egy csoportnak dolgozik.,A person works at a place for a group.
8,subj_nom-noun_goal-verb.,INTR-GOAL,intransitive,,Subject + goal + verb,Egy ember egy helyre megy.,A person goes to a place.
9,subj_nom-noun_src-verb.,INTR-SRC,intransitive,,Subject + source + verb,Egy ember egy helyről megy.,A person goes from a place.
10,subj_nom-noun_com-verb.,INTR-COM,intransitive,,Subject + comitative + verb,Egy ember egy emberrel dolgozik.,A person works with a person.
11,subj_nom-noun_ter-verb.,INTR-TER,intransitive,,Subject + terminative + verb,Egy ember egy helyig megy.,A person goes as far as a place.
12,subj_nom-noun_init-verb.,INTR-INIT,intransitive,,Subject + starting-point + verb,Egy ember egy helytől megy.,A person goes from a place.
13,tr-indef.,TR,transitive,INDF,Subject + indefinite object + verb,Egy ember egy tárgyat tesz.,A person puts an object.
14,tr-def.,TR,transitive,DEF,Subject + definite object + verb (objective conjugation),Egy ember a tárgyat teszi.,A person puts the object.
15,tr_dat-indef.,TR-DAT,transitive,INDF,Subject + indefinite object + dative + verb,Egy ember egy tárgyat egy csoportnak tesz.,A person puts an object for a group.
16,tr_dat-def.,TR-DAT,transitive,DEF,Subject + definite object + dative + verb (objective conjugation),Egy ember a tárgyat egy csoportnak teszi.,A person puts the object for a group.
17,tr_loc-indef.,TR-LOC,transitive,INDF,Subject + indefinite object + locative + verb,Egy ember egy tárgyat egy helyen tesz.,A person puts an object at a place.
18,tr_loc-def.,TR-LOC,transitive,DEF,Subject + definite object + locative + verb (objective conjugation),Egy ember a tárgyat egy helyen teszi.,A person puts the object at a place.
